DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY
6-Aug-2018,Iran,https://www.govinfo.gov/content/pkg/DCPD-201800524/pdf/DCPD-201800524.pdf,Reimposing Certain Sanctions With Respect to Iran  ," Blocking Sanctions Relating to Support for the Government of Iran's Purchase
or Acquisition of U.S. Bank Notes or Precious Metals; Certain Iranian Persons; and Iran's
Energy, Shipping, and Shipbuilding Sectors and Port Operators. (a) The Secretary of the
Treasury, in consultation with the Secretary of State, is hereby authorized to impose on a
person the measures described in subsection (b) of this section upon determining that:
(i) on or after August 7, 2018, the person has materially assisted, sponsored, or
provided financial, material, or technological support for, or goods or services in
support of, the purchase or acquisition of U.S. bank notes or precious metals by the
Government of Iran;
(ii) on or after November 5, 2018, the person has materially assisted, sponsored, or
provided financial, material, or technological support for, or goods or services in
support of, the National Iranian Oil Company (NIOC), Naftiran Intertrade Company
(NICO), or the Central Bank of Iran;
(iii) on or after November 5, 2018, the person has materially assisted, sponsored, or
provided financial, material, or technological support for, or goods or services to or in
support of:
2
(A) any Iranian person included on the list of Specially Designated Nationals and
Blocked Persons maintained by the Office of Foreign Assets Control (SDN List)
(other than an Iranian depository institution whose property and interests in
property are blocked solely pursuant to Executive Order 13599 of February 5,
2012); or
(B) any other person included on the SDN List whose property and interests in
property are blocked pursuant to subsection (a) of this section or Executive
Order 13599 (other than an Iranian depository institution whose property and interests in property are blocked solely pursuant to Executive Order 13599); or
(iv) pursuant to authority delegated by the President and in accordance with the
terms of such delegation, sanctions shall be imposed on such person pursuant to
section 1244(c)(1)(A) of IFCA because the person:
(A) is part of the energy, shipping, or shipbuilding sectors of Iran;
(B) operates a port in Iran; or
(C) knowingly provides significant financial, material, technological, or other
support to, or goods or services in support of any activity or transaction on behalf
of a person determined under section 1244(c)(2)(A) of IFCA to be a part of the
energy, shipping, or shipbuilding sectors of Iran; a person determined under
section 1244(c)(2)(B) of IFCA to operate a port in Iran; or an Iranian person
included on the SDN List (other than a person described in section 1244(c)(3) of
IFCA).
(b) With respect to any person determined by the Secretary of the Treasury in accordance
with this section to meet any of the criteria set forth in subsections (a)(i)–(a)(iv) of this section,
all property and interests in property that are in the United States, that hereafter come within
the United States, or that are or hereafter come within the possession or control of any United
States person of such person are blocked and may not be transferred, paid, exported,
withdrawn, or otherwise dealt in.
(c) The prohibitions in subsection (b) of this section apply except to the extent provided by
statutes, or in regulations, orders, directives, or licenses that may be issued pursuant to this
order, and notwithstanding any contract entered into or any license or permit granted prior to
the effective date of this order or, where specifically provided, the effective date of the
prohibition"
9/13/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends sanctions over action against Ukraine's territorial integrity,"The Council has extended the EU restrictive measures for a further six months, until 15 March 2019. The measures consist of asset freezes and travel restrictions. They currently apply to 155 persons and 44 entities."
12/10/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds nine people to sanctions list for their involvement in the so-called elections of 11 November 2018,"The Council added nine persons involved in the so-called ""elections"" 11 November 2018, which the EU considers as illegal and illegitimate, to the list of those subject to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine"
12/21/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 13-14 December 2018 on the state of implementation of the Minsk agreements.
3/4/2019,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2020 the asset freezes against 12 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against one person were not extended. This decision was based on the annual review of the measures.
3/15/2019,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,"EU responds to escalation at the Kerch Strait and the Sea of Azov, and renews sanctions over actions against Ukraine's territorial integrity","The Council added eight Russian officials to the list of those subject to restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. These new listings have been adopted by the Council as a response to escalation in the Kerch Strait and the Sea of Azov and the violations of international law by Russia, which used military force with no justification."
6/20/2019,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2020.
24-Jun-2019,Iran,https://www.govinfo.gov/content/pkg/FR-2019-06-26/pdf/2019-13793.pdf,Executive Order Imposing Sanctions With Respect to Iran," (a) All property and interests in property that are in the United
States, that hereafter come within the United States, or that are or hereafter
come within the possession or control of any United States person of the
following persons are blocked and may not be transferred, paid, exported,
withdrawn, or otherwise dealt in:
(i) the Supreme Leader of the Islamic Republic of Iran and the Iranian
Supreme Leader’s Office (SLO); or
(ii) any person determined by the Secretary of the Treasury, in consultation
with the Secretary of State:
(A) to be a person appointed by the Supreme Leader of Iran or the
SLO to a position as a state official of Iran, or as the head of any entity
located in Iran or any entity located outside of Iran that is owned or
controlled by one or more entities in Iran;
(B) to be a person appointed to a position as a state official of Iran,
or as the head of any entity located in Iran or any entity located outside
of Iran that is owned or controlled by one or more entities in Iran,
by any person appointed by the Supreme Leader of Iran or the SLO;
(C) to have materially assisted, sponsored, or provided financial, material,
or technological support for, or goods or services to or in support of
any person whose property and interests in property are blocked pursuant
to this section;
(D) to be owned or controlled by, or to have acted or purported to
act for or on behalf of, directly or indirectly any person whose property
and interests in property are blocked pursuant to this section; or
(E) to be a member of the board of directors or a senior executive
officer of any person whose property and interests in property are blocked
pursuant to this section.
(b) The prohibitions in subsection (a) of this section apply except to
the extent provided by statutes, or in regulations, orders, directives, or
licenses that may be issued pursuant to this order, and notwithstanding
any contract entered into or any license or permit granted before the date
of this order. "
6/27/2019,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2020. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 20-21 June 2019 on the state of implementation of the Minsk agreements.
9/12/2019,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends sanctions over action against Ukraine's territorial integrity,"The Council has extended the EU restrictive measures for a further six months, until 15 March 2020. The measures consist of asset freezes and travel restrictions. They currently apply to 170 persons and 44 entities."
12/19/2019,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged the economic sanctions targeting specific sectors of the Russian economy until 31 July 2020. This decision follows an update by President Macron and Chancellor Merkel to the European Council, on 12 December 2019, on the state of implementation of the Minsk agreements, to which the decision on maintaining sanctions is linked."
3/5/2020,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council decided to prolong for one more year until 6 March 2021 the existing asset freezes directed against 10 persons identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against two persons were not extended.
3/13/2020,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends sanctions over action against Ukraine's territorial integrity,"The Council decided that current sanctions in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine should be extended for a further six months until 15 September 2020. These restrictive measures provide not only for a freezing of funds, but also a prohibition against making funds or other economic resources available to the listed persons. They currently apply to 175 persons and 44 entities, following the removal of two deceased persons from the list."
6/18/2020,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council decided to renew the sanctions introduced in response to the illegal annexation of Crimea and Sevastopol by the Russian Federation until 23 June 2021.
6/29/2020,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews economic sanctions over Ukrainian crisis for six more months,"The Council decided to renew the sanctions targeting specific economic sectors of the Russian Federation for a further six months, until 31 January 2021."
10/1/2020,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Two persons and four entities added to EU sanctions list,"The Council added two individuals and four entities to the list of those individuals and entities subject to restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. These measures were adopted in the light of the role played by these people and entities in the construction of the bridge and railway tracks linking Russia to the illegally annexed Crimean peninsula via the Kerch Strait, and further isolating Crimea from Ukraine."
12/17/2020,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,The EU prolongs economic sanctions for another six months,The Council decided to prolong the restrictive measures currently targeting specific sectors of the Russian economy until 31 July 2021. These sanctions were imposed in 2014 in response to Russia's actions destabilising the situation in Ukraine.
3/4/2021,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Misappropriation of Ukrainian state funds: EU prolongs restrictive measures,"The Council decided to prolong for one more year, until 6 March 2022, the existing asset freezes directed against 7 individuals identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against one person were prolonged until 6 September 2021, and those against two persons were not extended."
3/12/2021,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends sanctions over territorial integrity for a further six months,"The Council decided to extend the sanctions targeting those responsible for undermining or threatening the territorial integrity, sovereignty and independence of Ukraine for a further six months until 15 September 2021. The existing restrictive measures provide for travel restrictions, the freezing of assets, and a ban on making funds or other economic resources available to the listed persons and entities. Sanctions will continue to apply to 177 individuals and 48 entities."
6/21/2021,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Crimea and Sevastopol: Council renews sanctions for a further year,The Council decided to renew sanctions introduced in response to the illegal annexation of Crimea and Sevastopol by the Russian Federation for a further year until 23 June 2022.
9/10/2021,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sanctions over territorial integrity prolonged for a further six months,"On 10 September 2021, the Council decided to prolong the sanctions targeting those responsible for undermining or threatening the territorial integrity, sovereignty and independence of Ukraine for a further six months until 15 March 2022. The existing restrictive measures provide for travel restrictions, the freezing of assets, and a ban on making funds or other economic resources available to the listed persons and entities. Sanctions will continue to apply to 177 individuals and 48 entities."
10/11/2021,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sanctions eight more people over territorial integrity,"On 11 October, the Council decided to impose restrictive measures on an additional 8 individuals for actively supporting actions and implementing policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine. The persons added to the EU sanctions list include law enforcement officials - judges, prosecutors and security officers - responsible for enforcing Russian law in the illegally-annexed Crimea and Sevastopol. EU restrictive measures regarding the territorial integrity of Ukraine now apply to a total of 185 persons and 48 entities."
01/13/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews economic sanctions,The EU extended existing economic sanctions against Russia for six months until 31 July 2022 following assessment of the Minsk agreements.
02/21/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Ukraine’s territorial integrity: EU sanctions five persons,"The EU imposed restrictive measures on five individuals supporting actions undermining Ukraine’s territorial integrity, including members of Russia’s State Duma elected from illegally annexed Crimea."
02/23/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,First package of sanctions against Russia,"The EU adopted its first sanctions package in response to Russia’s recognition of Donetsk and Luhansk regions, targeting 351 State Duma members and restricting economic relations and access to EU financial markets."
02/24/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU leaders agree on further sanctions against Russia,"EU leaders approved additional sanctions targeting Russia’s financial, energy, transport, and technology sectors, along with visa restrictions and new listing criteria."
02/25/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Second package of sanctions against Russia,"The EU froze assets of President Vladimir Putin and Foreign Minister Sergey Lavrov and imposed broad sanctions across finance, energy, transport, technology, and visa policy."
02/28/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Third package of sanctions against Russia,"The EU banned transactions with the Russian Central Bank, closed EU airspace to Russian carriers, imposed new sanctions on individuals, and provided €500 million military support to Ukraine."
03/02/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,SWIFT ban on Russian banks,"Seven Russian banks were excluded from the SWIFT system, and additional bans were introduced on euro banknotes, investments, and Russian Direct Investment Fund projects."
03/02/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU bans Russian state media outlets,The EU suspended broadcasting of Russia Today and Sputnik within the EU for spreading disinformation supporting Russia’s military aggression.
03/03/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Misappropriation of Ukrainian state funds: sanctions prolonged,The EU extended asset freezes for one year against individuals responsible for misappropriation of Ukrainian state funds or abuse of office.
03/09/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU imposes restrictive measures on 160 individuals,Sanctions were imposed on 160 individuals including oligarchs and Russian Federation Council members involved in Russia’s military aggression against Ukraine.
03/09/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU agrees new measures targeting Belarus and Russia,"The EU imposed financial and trade restrictions on Belarus for its role in supporting Russian aggression, including SWIFT bans and Central Bank transaction prohibitions."
03/10/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends territorial integrity sanctions,Sanctions targeting individuals and entities undermining Ukraine’s sovereignty were extended for six months until 15 September 2022.
03/15/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Fourth package of sanctions against Russia,"The EU banned transactions with state-owned enterprises, restricted investments in Russia’s energy sector, and imposed trade restrictions on iron, steel, and luxury goods."
04/08/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Fifth package of sanctions against Russia,"The EU banned coal imports, restricted Russian vessels from EU ports, banned road transport operators, limited crypto deposits, and sanctioned banks and individuals."
04/13/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Humanitarian exceptions to restrictive measures,The EU introduced humanitarian exemptions to sanctions to facilitate aid delivery in Ukraine.
04/21/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sanctions two businesspeople over Crimea,Sanctions were imposed on Serhiy Kurchenko and Yevgeniy Prigozhin for their involvement in Crimea’s illegal annexation and support of separatist activities.
05/30/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council agrees on sixth sanctions package,"EU leaders agreed to ban most Russian oil imports, discussed food security, energy independence, and increased support for Ukraine."
06/03/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Sixth package of sanctions against Russia,"The EU banned most Russian oil imports, imposed SWIFT bans on banks, suspended broadcasting outlets, and sanctioned individuals linked to war atrocities."
06/20/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Crimea and Sevastopol sanctions extended,"Sanctions related to Crimea and Sevastopol were extended for one year, restricting trade, investment, tourism, and energy exploration."
07/21/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Maintenance and alignment sanctions package,"The EU banned Russian-origin gold imports, reinforced export controls, clarified existing measures, and sanctioned additional individuals and entities."
07/26/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews economic sanctions,"Economic sanctions targeting finance, energy, transport, and luxury goods were extended until 31 January 2023."
08/04/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sanctions Viktor and Oleksandr Yanukovych,The EU imposed restrictive measures on Viktor Yanukovych and his son for undermining Ukraine’s sovereignty and supporting separatist groups.
09/14/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU prolongs individual sanctions,Individual sanctions against persons undermining Ukraine’s sovereignty were extended for six months until 15 March 2023.
10/06/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Eighth package of sanctions against Russia,"The EU introduced oil transport price caps, expanded restricted military items, and sanctioned additional individuals and entities."
10/20/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sanctions Iranian drone suppliers,Three Iranian individuals and one entity were sanctioned for supplying drones used by Russia in Ukraine.
11/28/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds sanctions violations as EU crime,The EU classified sanctions violations as EU crimes to improve enforcement and deter circumvention.
12/03/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU agrees on Russian oil price cap,The EU set a $60 per barrel price cap on Russian crude oil to reduce revenue funding the war.
12/16/2022,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Ninth package of sanctions against Russia,"The EU imposed bans on drone engines, dual-use exports, mining investments, services, sanctioned additional individuals and entities, and suspended Russian media licenses."
01/27/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU prolongs economic sanctions over Russia’s military aggression against Ukraine,"The Council extended sectoral economic sanctions against Russia for six months until 31 July 2023, covering key areas such as finance, energy, transport, and technology in response to Russia’s continued military aggression."
02/04/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU agrees on level of price cap for Russian petroleum products,"The EU set price caps on Russian petroleum products under CN code 2710: USD 45 per barrel for products traded at a discount to crude oil and USD 100 per barrel for products traded at a premium, effective from 5 February 2023, in cooperation with the Price Cap Coalition."
02/20/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU prolongs restrictions on business with non-government controlled areas of Ukraine,"The Council extended restrictive measures until 24 February 2024 against business activities with non-government controlled areas of Donetsk, Luhansk, Zaporizhzhia, and Kherson, including bans on imports, exports, and advisory services."
02/25/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,10th package of sanctions against Russia,"The EU adopted the tenth sanctions package including bans on exports of critical technology, imports of asphalt and synthetic rubber, gas storage provision, and transit of dual-use goods, suspended RT Arabic and Sputnik Arabic broadcasting, and sanctioned 87 individuals and 34 entities."
03/13/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews individual sanctions over Russia’s military aggression against Ukraine,"The Council renewed individual restrictive measures until 15 September 2023, including travel bans, asset freezes, and funding prohibitions, applying to 1,473 individuals and 205 entities."
04/13/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Wagner Group and RIA FAN added to the EU sanctions list,"The EU added the Wagner Group and RIA FAN to its sanctions list for undermining Ukraine’s sovereignty, bringing total sanctioned individuals to 1,473 and entities to 207, all subject to asset freezes and funding bans."
06/23/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,11th package of sanctions against Russia,"The EU adopted the eleventh sanctions package to counter circumvention, including tighter export restrictions, bans on transit of goods via Russia, enhanced cooperation with third countries, and sanctions on 71 individuals and 33 entities."
07/28/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Information manipulation in Russia’s war against Ukraine,"The Council sanctioned seven individuals and five entities involved in the “RRN” digital information manipulation campaign, which used fake media websites and social media accounts to spread pro-Russian propaganda within the EU."
12/18/2023,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,12th package of sanctions against Russia,"The EU adopted the twelfth sanctions package targeting high-value sectors, including a ban on Russian diamonds, stricter dual-use export controls, enforcement of oil price caps, prohibition of liquefied propane imports, and sanctions on an additional 61 individuals and 86 entities."
01/03/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sanctions Russian diamond firm Alrosa,"The Council added PJSC Alrosa and its CEO to the EU sanctions list, in line with the diamond ban introduced in December 2023. Alrosa accounts for over 90% of Russian diamond production and provides significant revenue to the Russian government."
01/29/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Russia: EU imposes new sanctions over human rights violations,"The EU imposed sanctions on four individuals and one entity under the Global Human Rights Sanctions Regime for serious human rights violations, including arbitrary arrests and censorship practices linked to the Russian judicial system."
01/29/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Council renews economic sanctions over Russia’s military aggression against Ukraine,"The Council extended sectoral economic sanctions against Russia for six months until 31 July 2024, covering finance, energy, transport, and technology sectors."
02/12/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Immobilised Russian assets: Council decides to set aside extraordinary revenues,"The Council decided that central securities depositories must separately account extraordinary revenues generated from immobilised Russian Central Bank assets, paving the way for future financial support to Ukraine."
02/23/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,13th package of sanctions against Russia,"The EU imposed restrictive measures on 106 individuals and 88 entities, targeting the military and defence sectors, judiciary members, and those responsible for the illegal deportation of Ukrainian children, along with new drone and export restrictions."
03/12/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews individual sanctions over Russia’s war of aggression against Ukraine,"The Council prolonged individual sanctions until 15 September 2024, including asset freezes and travel bans, applying to over 2,100 individuals and entities linked to Russia’s aggression."
03/22/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU imposes new sanctions over death of Alexei Navalny,"The EU sanctioned 33 individuals and two entities under the Global Human Rights Sanctions Regime in response to the death of Alexei Navalny, including penal colonies, judiciary members, and penitentiary officials."
05/17/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Council bans four Russian-controlled media outlets,"The Council suspended broadcasting of Voice of Europe, RIA Novosti, Izvestia, and Rossiyskaya Gazeta for spreading Russian propaganda and disinformation supporting the war against Ukraine."
05/21/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU to use profits from frozen Russian assets to help Ukraine,"The Council approved the use of windfall net profits generated from immobilised Russian assets to support Ukraine’s defence, reconstruction, and recovery through EU programmes."
05/27/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU sets up new sanctions framework targeting human rights violations in Russia,"The EU established a country-specific sanctions regime targeting serious human rights violations in Russia, sanctioning 19 individuals and one entity and introducing trade restrictions on repression-related equipment."
05/27/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU imposes new sanctions in response to information manipulation,"The Council sanctioned two individuals and one entity, including Voice of Europe, for propaganda and information manipulation supporting Russia’s war against Ukraine."
06/17/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Crimea and Sevastopol: Council renews sanctions for a further year,"The EU renewed sanctions related to the illegal annexation of Crimea and Sevastopol until 23 June 2025, maintaining restrictions on trade, investment, tourism, and energy activities."
06/24/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,14th package of sanctions against Russia,"The EU adopted comprehensive sanctions targeting energy, finance, trade, LNG transshipment, financial messaging systems, aviation, and political funding, and sanctioned 69 individuals and 47 entities."
06/28/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU imposes new individual sanctions on Russia,"The Council sanctioned two individuals and four entities for circumventing EU sanctions and materially supporting the Russian government, imposing asset freezes and travel bans."
07/22/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews economic sanctions against Russia,The Council extended economic sanctions against Russia for six months until 31 January 2025 in response to continued destabilising actions in Ukraine.
09/12/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews individual sanctions against Russia,"The Council prolonged individual restrictive measures until 15 March 2025, including asset freezes, travel bans, and funding prohibitions."
10/08/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adopts new sanctions regime in response to hybrid threats from Russia,"The EU established a new framework to counter hybrid threats such as election interference, cyberattacks, sabotage, disinformation, and the instrumentalisation of migrants."
12/16/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,15th package of sanctions against Russia,"The EU adopted the fifteenth sanctions package, including sanctions on 54 individuals and 30 entities, bans on shadow fleet vessels, expanded dual-use export restrictions, legal enforcement bans, and extended divestment derogations."
12/16/2024,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU agrees first listings in response to Russia’s hybrid threats,"The Council imposed restrictive measures on 16 individuals and three entities responsible for Russia’s destabilising hybrid activities, including coordinated information manipulation and interference."
01/27/2025,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU renews economic sanctions against Russia,The Council renewed EU economic restrictive measures against Russia for six months until 31 July 2025 due to Russia’s continued actions destabilising Ukraine.
