DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY,TEXT,IMPACT SCORE,IMPACT LEVEL
12/18/2014,Venezuela,https://www.congress.gov/bill/113th-congress/senate-bill/2142/text,Venezuela Defense of Human Rights and Civil Society Act of 2014,"The U.S. Congress cited severe economic and political deterioration in Venezuela, including inflation exceeding 56% in 2013, widespread scarcity of basic goods, strict currency controls harming business activity, and a dramatic rise in violent crime. The Act highlighted systemic human rights abuses, erosion of judicial independence, intimidation of political opponents, and consolidation of executive power under Presidents Chávez and Maduro. Based on these findings, sanctions were authorized against individuals responsible for human rights violations and suppression of civil society.","Venezuela Defense of Human Rights and Civil Society Act of 2014: The U.S. Congress cited severe economic and political deterioration in Venezuela, including inflation exceeding 56% in 2013, widespread scarcity of basic goods, strict currency controls harming business activity, and a dramatic rise in violent crime. The Act highlighted systemic human rights abuses, erosion of judicial independence, intimidation of political opponents, and consolidation of executive power under Presidents Chávez and Maduro. Based on these findings, sanctions were authorized against individuals responsible for human rights violations and suppression of civil society.",3,Medium
12/19/2014,Venezuela,https://www.federalregister.gov/documents/2015/03/11/2015-05677/blocking-property-and-suspending-entry-of-certain-persons-contributing-to-the-situation-in-venezuela,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela,"This order blocked all U.S.-based property and financial interests of individuals identified as undermining democratic institutions in Venezuela. It targeted persons involved in human rights abuses, violent repression of antigovernment protests since February 2014, restrictions on freedom of expression and assembly, and public corruption by senior officials. It also applied to current or former government officials, individuals providing material or financial support to sanctioned persons, and entities owned or controlled by them.","Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela: This order blocked all U.S.-based property and financial interests of individuals identified as undermining democratic institutions in Venezuela. It targeted persons involved in human rights abuses, violent repression of antigovernment protests since February 2014, restrictions on freedom of expression and assembly, and public corruption by senior officials. It also applied to current or former government officials, individuals providing material or financial support to sanctioned persons, and entities owned or controlled by them.",2,Medium
12/20/2014,Venezuela,https://www.congress.gov/bill/114th-congress/senate-bill/2845/text,Venezuela Defense of Human Rights and Civil Society Extension Act of 2016,"This Act extended the termination date of sanctions imposed under the 2014 Human Rights Act. By prolonging sanctions through December 31, 2019, the U.S. Congress reaffirmed continued concern over unresolved human rights violations, democratic backsliding, and lack of institutional reforms within Venezuela.","Venezuela Defense of Human Rights and Civil Society Extension Act of 2016: This Act extended the termination date of sanctions imposed under the 2014 Human Rights Act. By prolonging sanctions through December 31, 2019, the U.S. Congress reaffirmed continued concern over unresolved human rights violations, democratic backsliding, and lack of institutional reforms within Venezuela.",1,Low
12/21/2014,Venezuela,https://www.federalregister.gov/documents/2017/08/29/2017-18468/imposing-additional-sanctions-with-respect-to-the-situation-in-venezuela,Imposing Additional Sanctions With Respect to the Situation in Venezuela,"This executive order restricted U.S. persons from engaging in transactions involving new debt and equity issued by the Government of Venezuela and PDVSA. It prohibited long-maturity debt, trading of existing government bonds, and dividend payments to the Venezuelan state. The measures aimed to limit the government’s access to international financial markets and prevent the use of U.S. capital to sustain the Maduro regime.","Imposing Additional Sanctions With Respect to the Situation in Venezuela: This executive order restricted U.S. persons from engaging in transactions involving new debt and equity issued by the Government of Venezuela and PDVSA. It prohibited long-maturity debt, trading of existing government bonds, and dividend payments to the Venezuelan state. The measures aimed to limit the government’s access to international financial markets and prevent the use of U.S. capital to sustain the Maduro regime.",4,High
12/22/2014,Venezuela,https://www.federalregister.gov/documents/2018/03/21/2018-05916/taking-additional-steps-to-address-the-situation-in-venezuela,Taking Additional Steps to Address the Situation in Venezuela,"This order prohibited all U.S. transactions involving digital currencies, coins, or tokens issued by or on behalf of the Venezuelan government after January 9, 2018. The measure directly targeted state-backed cryptocurrencies, including the Petro, which were viewed as mechanisms to bypass existing U.S. financial sanctions and access alternative sources of funding.","Taking Additional Steps to Address the Situation in Venezuela: This order prohibited all U.S. transactions involving digital currencies, coins, or tokens issued by or on behalf of the Venezuelan government after January 9, 2018. The measure directly targeted state-backed cryptocurrencies, including the Petro, which were viewed as mechanisms to bypass existing U.S. financial sanctions and access alternative sources of funding.",1,Low
12/23/2014,Venezuela,https://www.federalregister.gov/documents/2018/05/24/2018-11335/prohibiting-certain-additional-transactions-with-respect-to-venezuela,Prohibiting Certain Additional Transactions With Respect to Venezuela,"This order prohibited U.S. persons from purchasing Venezuelan government debt, including accounts receivable, and restricted the use of such debt as collateral. It also barred the sale or transfer of government-owned equity in entities where the state held a majority stake. These measures sought to prevent asset stripping, debt monetization, and circumvention of prior sanctions.","Prohibiting Certain Additional Transactions With Respect to Venezuela: This order prohibited U.S. persons from purchasing Venezuelan government debt, including accounts receivable, and restricted the use of such debt as collateral. It also barred the sale or transfer of government-owned equity in entities where the state held a majority stake. These measures sought to prevent asset stripping, debt monetization, and circumvention of prior sanctions.",2,Medium
12/24/2014,Venezuela,https://www.federalregister.gov/documents/2018/11/02/2018-24254/blocking-property-of-additional-persons-contributing-to-the-situation-in-venezuela,Blocking Property of Additional Persons Contributing to the Situation in Venezuela,"This action expanded sanctions to individuals operating in Venezuela’s gold sector and other designated sectors of the economy. It targeted those engaged in corruption, deceptive financial practices, or illicit transactions benefiting the Venezuelan government. The order also applied to individuals providing material or technological support to sanctioned actors and to entities owned or controlled by them.","Blocking Property of Additional Persons Contributing to the Situation in Venezuela: This action expanded sanctions to individuals operating in Venezuela’s gold sector and other designated sectors of the economy. It targeted those engaged in corruption, deceptive financial practices, or illicit transactions benefiting the Venezuelan government. The order also applied to individuals providing material or technological support to sanctioned actors and to entities owned or controlled by them.",3,Medium
12/25/2014,Venezuela,https://www.federalregister.gov/documents/2019/01/30/2019-00615/taking-additional-steps-to-address-the-national-emergency-with-respect-to-venezuela,Taking Additional Steps To Address the National Emergency With Respect to Venezuela,"This order broadened the legal definition of the “Government of Venezuela” to include the Central Bank of Venezuela, PDVSA, and all entities acting directly or indirectly on behalf of the Maduro regime. This clarification closed legal loopholes and ensured comprehensive enforcement of existing sanctions across all state-controlled institutions.","Taking Additional Steps To Address the National Emergency With Respect to Venezuela: This order broadened the legal definition of the “Government of Venezuela” to include the Central Bank of Venezuela, PDVSA, and all entities acting directly or indirectly on behalf of the Maduro regime. This clarification closed legal loopholes and ensured comprehensive enforcement of existing sanctions across all state-controlled institutions.",4,High
12/26/2014,Venezuela,https://www.federalregister.gov/documents/2019/08/07/2019-17052/blocking-property-of-the-government-of-venezuela,Blocking Property of the Government of Venezuela,"This order imposed a full asset freeze on the Government of Venezuela, blocking all government-owned property and interests within U.S. jurisdiction. It also sanctioned individuals and entities providing financial, material, or technological support to previously designated persons. This marked a shift from targeted sanctions to comprehensive economic isolation of the Venezuelan state.","Blocking Property of the Government of Venezuela: This order imposed a full asset freeze on the Government of Venezuela, blocking all government-owned property and interests within U.S. jurisdiction. It also sanctioned individuals and entities providing financial, material, or technological support to previously designated persons. This marked a shift from targeted sanctions to comprehensive economic isolation of the Venezuelan state.",5,High
1/29/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of existing individual restrictive measures,"The Council strongly condemned the indiscriminate shelling of the residential areas, especially in Mariupol, and the escalation of fighting in the Donetsk and Luhansk regions of Ukraine. In response to those events, the Council agreed to extend the existing individual restrictive measures, targeting 132 persons and 28 entities for threatening or undermining Ukraine's sovereignty and territorial integrity, until September 2015. It also called for a proposal on additional designations for decision at the Foreign Affairs Council on 9 February 2015.","Extension of existing individual restrictive measures: The Council strongly condemned the indiscriminate shelling of the residential areas, especially in Mariupol, and the escalation of fighting in the Donetsk and Luhansk regions of Ukraine. In response to those events, the Council agreed to extend the existing individual restrictive measures, targeting 132 persons and 28 entities for threatening or undermining Ukraine's sovereignty and territorial integrity, until September 2015. It also called for a proposal on additional designations for decision at the Foreign Affairs Council on 9 February 2015.",2,Medium
2/9/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Additional listings on hold,"The Council unanimously adopted additional listings concerning separatists in Eastern Ukraine and their supporters in Russia. These consist of an asset freeze and a travel ban on 19 persons and 9 entities involved in action against Ukraine's territorial integrity. To give space for diplomatic efforts and the Minsk talks, the Council put the entry into force of the measures on hold until Monday 16 February 2015.","Additional listings on hold: The Council unanimously adopted additional listings concerning separatists in Eastern Ukraine and their supporters in Russia. These consist of an asset freeze and a travel ban on 19 persons and 9 entities involved in action against Ukraine's territorial integrity. To give space for diplomatic efforts and the Minsk talks, the Council put the entry into force of the measures on hold until Monday 16 February 2015.",1,Low
2/12/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU leaders welcomed the results of the Minsk agreement,"At an informal meeting of heads of state or government, EU leaders gave cautious support to the Minsk agreement. They indicated that they will not hesitate to take the necessary steps if the agreement is not implemented and the ceasefire is not respected.","EU leaders welcomed the results of the Minsk agreement: At an informal meeting of heads of state or government, EU leaders gave cautious support to the Minsk agreement. They indicated that they will not hesitate to take the necessary steps if the agreement is not implemented and the ceasefire is not respected.",1,Low
2/16/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU strengthens sanctions against separatists in Eastern Ukraine,"As requested by the Foreign Affairs Council of 9 February, an asset freeze and an EU travel ban were imposed to 19 persons and 9 entities involved in action against Ukraine's territorial integrity.","EU strengthens sanctions against separatists in Eastern Ukraine: As requested by the Foreign Affairs Council of 9 February, an asset freeze and an EU travel ban were imposed to 19 persons and 9 entities involved in action against Ukraine's territorial integrity.",1,Low
3/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council adjusted and extended EU restrictive measures focused on the freezing and recovery of misappropriated Ukrainian state funds.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council adjusted and extended EU restrictive measures focused on the freezing and recovery of misappropriated Ukrainian state funds.,2,Medium
3/13/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 September 2015 the application of EU restrictive measures targeting action against Ukraine's sovereignty, territorial integrity and independence. 150 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.","Extension of EU sanctions over action against Ukraine's territorial integrity: The Council extended until 15 September 2015 the application of EU restrictive measures targeting action against Ukraine's sovereignty, territorial integrity and independence. 150 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.",2,Medium
3/19/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council,"Leaders decided to align the existing sanctions regime to the implementation of the Minsk agreements. Economic sanctions will remain enforced until the end of 2015 when the last point of the peace plan is to be implemented: Ukraine regaining control over its borders in the east. EU leaders also stressed the need to challenge Russia's ongoing campaign of public disinformation about the conflict in Ukraine. The EU High Representative, Federica Mogherini, was invited to prepare an action plan on strategic communication for the June European Council. EU leaders agreed on the objectives of the Eastern Partnership summit, which then took place in Riga on 21-22 May 2015. The European Council repeated its commitment to the eastern partners and set as a priority to strengthen the democratic institutions to the east.","European Council: Leaders decided to align the existing sanctions regime to the implementation of the Minsk agreements. Economic sanctions will remain enforced until the end of 2015 when the last point of the peace plan is to be implemented: Ukraine regaining control over its borders in the east. EU leaders also stressed the need to challenge Russia's ongoing campaign of public disinformation about the conflict in Ukraine. The EU High Representative, Federica Mogherini, was invited to prepare an action plan on strategic communication for the June European Council. EU leaders agreed on the objectives of the Eastern Partnership summit, which then took place in Riga on 21-22 May 2015. The European Council repeated its commitment to the eastern partners and set as a priority to strengthen the democratic institutions to the east.",5,High
6/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended the asset freeze for three persons covered by measures applying until 6 June 2015.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended the asset freeze for three persons covered by measures applying until 6 June 2015.,2,Medium
6/19/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of restrictions in response to the illegal annexation of Crimea and Sevastopol,"The Council extended until 23 June 2016 the EU restrictive measures in response to the illegal annexation of Crimea and Sevastopol. These measures include prohibitions on import of products, investment, tourism services and exports of certain goods and technologies.","Extension of restrictions in response to the illegal annexation of Crimea and Sevastopol: The Council extended until 23 June 2016 the EU restrictive measures in response to the illegal annexation of Crimea and Sevastopol. These measures include prohibitions on import of products, investment, tourism services and exports of certain goods and technologies.",2,Medium
6/22/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council extended EU economic sanctions until 31 January 2016. These sanctions were introduced in response to Russia's destabilising role in Eastern Ukraine. They target certain exchanges with Russia in the financial, energy and defence sectors and dual-use goods.","Extension of economic sanctions: The Council extended EU economic sanctions until 31 January 2016. These sanctions were introduced in response to Russia's destabilising role in Eastern Ukraine. They target certain exchanges with Russia in the financial, energy and defence sectors and dual-use goods.",5,High
9/14/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 March 2016 the application of EU restrictive measures targeting action against Ukraine's territorial integrity, sovereignty and independence. 149 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.","Extension of EU sanctions over action against Ukraine's territorial integrity: The Council extended until 15 March 2016 the application of EU restrictive measures targeting action against Ukraine's territorial integrity, sovereignty and independence. 149 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.",2,Medium
10/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended the asset freeze for one person covered by measures applying until 6 October 2015.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended the asset freeze for one person covered by measures applying until 6 October 2015.,2,Medium
12/21/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged EU economic sanctions against Russia until 31 July 2016. In March 2015, EU leaders decided to align the existing sanctions regime to the complete implementation of the Minsk agreements, which was foreseen for the end of December 2015. Since the Minsk agreements will not be fully implemented by 31 December 2015, the duration of the sanctions has been prolonged whilst the Council continues its assessment of progress in implementation.","Extension of economic sanctions: The Council prolonged EU economic sanctions against Russia until 31 July 2016. In March 2015, EU leaders decided to align the existing sanctions regime to the complete implementation of the Minsk agreements, which was foreseen for the end of December 2015. Since the Minsk agreements will not be fully implemented by 31 December 2015, the duration of the sanctions has been prolonged whilst the Council continues its assessment of progress in implementation.",5,High
3/4/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended by one year asset freezes against 16 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended by one year asset freezes against 16 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,2,Medium
3/10/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 September 2016 EU restrictive measures against 146 people and 37 companies, in view of the continuing undermining or threatening of the territorial integrity, sovereignty and independence of Ukraine.","Extension of EU sanctions over action against Ukraine's territorial integrity: The Council extended until 15 September 2016 EU restrictive measures against 146 people and 37 companies, in view of the continuing undermining or threatening of the territorial integrity, sovereignty and independence of Ukraine.",2,Medium
6/17/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2017. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol: The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2017. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,2,Medium
7/1/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged the economic sanctions targeting specific sectors of the Russian economy until 31 January 2017. In July 2016, having assessed the implementation of the Minsk agreements, the Council decided to renew the sanctions for a further six months.","Extension of economic sanctions: The Council prolonged the economic sanctions targeting specific sectors of the Russian economy until 31 January 2017. In July 2016, having assessed the implementation of the Minsk agreements, the Council decided to renew the sanctions for a further six months.",5,High
11/9/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds six members of the State Duma from Crimea to sanctions list,"The EU added six members of the Russian Federation State Duma elected from the illegally annexed Autonomous Republic of Crimea and the city of Sevastopol to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.","EU adds six members of the State Duma from Crimea to sanctions list: The EU added six members of the Russian Federation State Duma elected from the illegally annexed Autonomous Republic of Crimea and the city of Sevastopol to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.",2,Medium
12/19/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council extended the application of economic sanctions targeting specific sectors of the Russian economy, until 31 July 2017. This was decided following the European Council meeting on 15 December 2016, where the leaders assessed the progress in implementing the Minsk agreements and paved the way for a further extension of sanctions.","Extension of economic sanctions: The Council extended the application of economic sanctions targeting specific sectors of the Russian economy, until 31 July 2017. This was decided following the European Council meeting on 15 December 2016, where the leaders assessed the progress in implementing the Minsk agreements and paved the way for a further extension of sanctions.",5,High
3/3/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2018 the asset freezes against 15 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended until 6 March 2018 the asset freezes against 15 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,2,Medium
3/13/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 September 2017, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 37 entities.","Extension of EU sanctions over actions against Ukraine's territorial integrity: The Council prolonged for a further six months, until 15 September 2017, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 37 entities.",2,Medium
6/19/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2018. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol: The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2018. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,2,Medium
6/28/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 22-23 June 2017 on the implementation of the Minsk Agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 22-23 June 2017 on the implementation of the Minsk Agreements.,5,High
8/4/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds 3 persons and 3 companies to sanctions list,"The EU has added 3 Russian nationals and 3 companies involved in the transfer of gas turbines to Crimea to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.","EU adds 3 persons and 3 companies to sanctions list: The EU has added 3 Russian nationals and 3 companies involved in the transfer of gas turbines to Crimea to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.",5,High
9/14/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 March 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The restrictive measures now apply to 149 persons and 38 entities.","Extension of EU sanctions over actions against Ukraine's territorial integrity: The Council prolonged for a further six months, until 15 March 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The restrictive measures now apply to 149 persons and 38 entities.",2,Medium
11/21/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,"""Governor of Sevastopol"" added to sanctions list over actions against Ukraine's territorial integrity","The Council added Dmitry Vladimirovich Ovsyannikov, ""Governor of Sevastopol"", to the list of those submitted to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. The restrictive measures now apply to 150 persons and 38 entities.","""Governor of Sevastopol"" added to sanctions list over actions against Ukraine's territorial integrity: The Council added Dmitry Vladimirovich Ovsyannikov, ""Governor of Sevastopol"", to the list of those submitted to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. The restrictive measures now apply to 150 persons and 38 entities.",2,Medium
12/21/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 14 December 2017 on the state of implementation of the Minsk agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 14 December 2017 on the state of implementation of the Minsk agreements.,5,High
3/5/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2019 the asset freezes against 13 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against two persons were not extended. This decision was based on the annual review of the measures.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended until 6 March 2019 the asset freezes against 13 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against two persons were not extended. This decision was based on the annual review of the measures.,2,Medium
3/12/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 September 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 38 entities.","Extension of EU sanctions over actions against Ukraine's territorial integrity: The Council prolonged for a further six months, until 15 September 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 38 entities.",2,Medium
5/14/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds five people involved in the organisation of Russian presidential elections to sanctions list,"The EU has added five people to the sanction list for their involvement in the organisation of Russian presidential elections in illegally annexed Crimea and Sevastopol. Thereby these individuals actively supported and implemented policies that undermine the territorial integrity, sovereignty and independence of Ukraine.","EU adds five people involved in the organisation of Russian presidential elections to sanctions list: The EU has added five people to the sanction list for their involvement in the organisation of Russian presidential elections in illegally annexed Crimea and Sevastopol. Thereby these individuals actively supported and implemented policies that undermine the territorial integrity, sovereignty and independence of Ukraine.",2,Medium
6/18/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2019.,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol: The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2019.,2,Medium
7/5/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 28-29 June 2018 on the state of implementation of the Minsk agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 28-29 June 2018 on the state of implementation of the Minsk agreements.,5,High
7/31/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds 6 entities involved in the construction of the Kerch Bridge to sanctions list,"The EU added six entities to the sanctions list because of their involvement in the construction of the Kerch Bridge, connecting Russia to the illegally annexed Crimean peninsula. Through their actions they supported the consolidation of Russia's control over the illegally annexed Crimean peninsula, which in turn further undermines the territorial integrity, sovereignty and independence of Ukraine.","EU adds 6 entities involved in the construction of the Kerch Bridge to sanctions list: The EU added six entities to the sanctions list because of their involvement in the construction of the Kerch Bridge, connecting Russia to the illegally annexed Crimean peninsula. Through their actions they supported the consolidation of Russia's control over the illegally annexed Crimean peninsula, which in turn further undermines the territorial integrity, sovereignty and independence of Ukraine.",2,Medium
9/13/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends sanctions over action against Ukraine's territorial integrity,"The Council has extended the EU restrictive measures for a further six months, until 15 March 2019. The measures consist of asset freezes and travel restrictions. They currently apply to 155 persons and 44 entities.","EU extends sanctions over action against Ukraine's territorial integrity: The Council has extended the EU restrictive measures for a further six months, until 15 March 2019. The measures consist of asset freezes and travel restrictions. They currently apply to 155 persons and 44 entities.",2,Medium
12/10/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds nine people to sanctions list for their involvement in the so-called elections of 11 November 2018,"The Council added nine persons involved in the so-called ""elections"" 11 November 2018, which the EU considers as illegal and illegitimate, to the list of those subject to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","EU adds nine people to sanctions list for their involvement in the so-called elections of 11 November 2018: The Council added nine persons involved in the so-called ""elections"" 11 November 2018, which the EU considers as illegal and illegitimate, to the list of those subject to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine",1,Low
12/21/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 13-14 December 2018 on the state of implementation of the Minsk agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 13-14 December 2018 on the state of implementation of the Minsk agreements.,5,High
